,Player,Pos,Tm,GP,GS,MPG,PPG,RPG,APG,SPG,BPG,TPG,FPG,FG,FGA,3P,3PA,FT,FTA,TS%,PRF
0,A.J. Green,SG,MIL,5,0,4,3.0,0.2,0.2,0.0,0.0,0.0,0.2,6,13,6,12,0,0,58.0,3.2
1,AJ Griffin,SF,ATL,2,0,8,1.7,0.3,0.0,0.0,0.0,0.0,1.0,1,11,1,7,2,2,14.0,1.0
2,Aaron Gordon,PF,DEN,4,4,38,13.5,7.0,3.8,0.8,0.2,2.0,2.0,23,55,3,16,5,10,45.0,21.3
3,Aaron Holiday,PG,HOU,4,0,16,6.2,1.2,2.0,0.8,0.2,0.2,1.8,9,20,5,10,2,2,59.0,8.4
4,Aaron Nesmith,SF,IND,5,1,26,11.2,2.4,1.0,0.8,1.0,0.8,3.8,21,41,6,19,8,14,59.0,11.799999999999997
5,Aaron Wiggins,SG,OKC,3,0,9,4.5,1.2,0.5,0.5,0.0,0.0,0.8,7,11,4,6,0,0,61.0,5.9
6,Admiral Schofield,PF,ORL,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
7,Al Horford,C,BOS,4,3,28,8.0,6.2,3.8,0.5,1.0,1.5,2.2,12,21,8,16,0,0,76.0,15.8
8,Alec Burks,SG,DET,3,0,20,10.7,2.3,2.3,1.0,0.3,1.0,2.3,10,32,8,21,4,4,48.0,13.3
9,Aleksej Pokusevski,PF,OKC,1,0,1,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0.0,0.6
10,Alex Caruso,SG,CHI,4,2,21,9.0,1.8,1.2,1.5,0.8,0.5,2.0,11,20,8,15,6,6,80.0,11.8
11,Alex Len,C,SAC,1,0,9,3.0,6.0,0.0,0.0,2.0,2.0,1.0,1,1,0,0,1,2,80.0,8.0
12,Alperen Şengün,C,HOU,4,4,36,24.8,10.0,5.2,1.2,0.8,4.5,3.2,37,71,2,13,23,32,58.0,34.3
13,Amari Bailey,PG,CHO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
14,Amir Coffey,SF,LAC,1,0,3,1.5,0.5,0.0,0.0,0.0,0.0,0.2,2,6,0,2,2,2,11.0,1.8
15,Andre Drummond,C,CHI,4,0,12,4.8,5.2,0.0,0.8,0.5,0.8,1.2,7,14,0,1,5,14,48.0,9.3
16,Andre Jackson Jr.,SG,MIL,4,0,3,2.0,0.5,0.5,0.0,0.0,0.2,1.0,4,4,4,4,0,0,100.0,1.7999999999999998
17,Andrew Nembhard,PG,IND,5,0,13,6.0,1.2,2.8,0.6,0.2,0.8,0.6,13,28,1,4,3,5,50.0,9.399999999999999
18,Andrew Wiggins,SF,GSW,4,4,28,16.2,6.5,1.0,0.8,0.2,2.5,3.5,25,54,5,17,10,14,54.0,18.7
19,Anthony Black,PG,ORL,4,4,15,2.2,1.5,0.5,0.2,0.0,1.2,1.5,4,14,0,6,1,3,29.0,1.7000000000000002
20,Anthony Davis,C,LAL,6,6,32,20.3,13.7,3.5,1.2,2.7,2.2,2.0,46,94,0,3,30,36,55.0,37.2
21,Anthony Edwards,SG,MIN,4,4,35,26.0,5.8,3.8,1.8,1.0,3.8,1.5,31,74,10,29,32,40,57.0,33.1
22,Anthony Gill,PF,WAS,2,0,2,2.0,0.8,0.2,0.0,0.2,0.2,0.2,2,3,0,0,4,4,42.0,2.8
23,Armoni Brooks,PG,BRK,1,0,6,0.0,1.3,0.0,0.0,0.0,0.3,0.0,0,5,0,3,0,0,0.0,1.0
24,Ausar Thompson,SF,DET,4,4,28,12.5,9.2,3.5,1.0,1.8,2.5,3.2,23,36,0,3,4,10,62.0,22.3
25,Austin Reaves,SG,LAL,6,0,26,15.7,5.2,5.3,0.8,0.0,2.5,0.3,31,62,13,26,19,21,66.0,24.2
26,Ayo Dosunmu,SG,CHI,3,0,16,4.0,1.0,1.3,0.7,0.0,0.0,1.7,5,17,1,6,1,2,34.0,5.3
27,Bam Adebayo,C,MIA,4,4,35,22.8,9.2,3.5,1.2,0.8,2.2,3.2,37,74,0,1,17,21,55.0,32.099999999999994
28,Ben Sheppard,SG,IND,1,0,1,0.8,0.2,0.2,0.0,0.0,0.0,0.0,2,5,1,4,0,0,8.0,1.2
29,Ben Simmons,PG,BRK,1,1,16,4.0,4.5,3.0,0.5,0.0,2.0,1.5,4,8,0,0,0,0,25.0,8.5
30,Bennedict Mathurin,SF,IND,6,2,23,12.0,3.0,1.5,0.3,0.2,1.2,2.0,26,63,10,21,10,14,52.0,13.8
31,Bilal Coulibaly,SF,WAS,3,0,25,8.3,2.7,2.7,0.0,0.3,1.7,1.0,8,16,3,9,6,9,62.0,11.3
32,Bismack Biyombo,C,MEM,3,3,17,4.2,5.4,1.0,0.2,0.6,0.2,2.0,8,20,0,0,5,6,28.0,9.200000000000001
33,Blake Wesley,SG,SAS,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,-0.5
34,Boban Marjanović,C,HOU,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
35,Bobby Portis,PF,MIL,6,0,22,7.0,4.5,0.7,0.5,0.7,0.8,2.2,19,49,2,12,2,2,42.0,10.399999999999999
36,Bogdan Bogdanović,SG,ATL,4,1,28,18.5,3.2,1.8,1.2,0.2,1.8,2.2,27,60,12,34,8,9,58.0,20.9
37,Bol Bol,PF,PHO,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
38,Bones Hyland,PG,LAC,1,0,7,4.2,1.0,1.5,0.2,0.0,0.5,1.2,5,9,1,5,6,6,18.0,5.2
39,Bradley Beal,SG,PHO,1,1,31,24.0,4.0,2.0,2.0,0.0,2.0,4.0,9,17,2,4,4,6,61.0,26.0
40,Brandin Podziemski,SG,GSW,2,0,16,7.7,3.3,2.3,0.3,0.0,1.3,1.3,9,23,3,10,2,2,32.0,11.0
41,Brandon Ingram,SF,NOP,6,6,36,24.3,5.5,6.3,0.7,0.2,2.7,2.2,57,117,11,34,21,29,56.0,32.1
42,Brandon Miller,SF,CHO,3,3,31,13.3,3.3,2.3,1.0,0.7,1.7,3.0,17,46,4,17,2,3,42.0,15.900000000000002
43,Braxton Key,SF,DEN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
44,Brice Sensabaugh,SF,UTA,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
45,Brook Lopez,C,MIL,6,6,33,17.7,6.0,2.0,1.0,4.2,1.0,3.3,41,75,13,37,11,14,65.0,26.599999999999998
46,Bruce Brown,SG,IND,6,6,34,13.2,4.5,3.0,1.7,0.0,1.3,3.2,27,65,6,20,19,22,53.0,17.9
47,Bruno Fernando,C,ATL,1,0,1,0.5,0.8,0.0,0.0,0.0,0.2,0.2,1,6,0,0,0,0,4.0,0.9000000000000001
48,Bryce McGowens,SG,CHO,4,0,16,6.0,2.0,0.8,0.5,0.0,0.5,2.0,8,17,5,10,3,4,64.0,6.800000000000001
49,Buddy Hield,SF,IND,6,4,30,14.5,4.3,1.3,0.8,0.3,1.7,2.3,31,58,17,34,8,9,70.0,17.200000000000003
50,CJ McCollum,PG,NOP,2,2,30,13.0,3.0,4.5,2.0,1.0,1.5,2.0,11,28,4,9,0,0,46.0,20.0
51,Cade Cunningham,PG,DET,4,4,36,20.2,3.8,8.0,0.8,0.0,4.5,3.0,31,79,6,19,13,13,48.0,25.299999999999997
52,Caleb Houstan,SF,ORL,4,0,5,1.5,1.2,0.2,0.5,0.0,0.0,0.2,2,3,2,3,0,0,100.0,3.2
53,Caleb Martin,SF,MIA,2,0,21,8.0,2.0,1.0,1.0,0.0,0.0,2.5,7,16,2,6,0,0,50.0,9.5
54,Cam Reddish,SF,LAL,6,6,23,8.0,2.2,1.0,1.2,0.2,0.3,1.8,13,31,10,19,12,14,65.0,10.499999999999996
55,Cam Thomas,SG,BRK,1,1,15,8.5,2.5,2.0,0.0,0.5,0.0,0.5,6,18,3,9,2,2,23.0,13.0
56,Cam Whitmore,SF,HOU,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
57,Cameron Johnson,PF,BRK,3,3,27,16.3,6.3,1.7,1.0,0.0,1.3,1.7,17,35,7,17,8,9,63.0,22.3
58,Cameron Payne,PG,MIL,6,0,16,4.0,1.7,2.8,0.2,0.2,0.8,1.7,11,25,2,11,0,0,48.0,6.399999999999998
59,Caris LeVert,SG,CLE,3,0,18,6.6,1.8,1.2,0.6,0.2,1.0,1.0,13,34,3,15,4,6,27.0,8.399999999999999
60,Cason Wallace,SG,OKC,4,1,24,10.0,2.5,1.5,0.8,0.8,0.5,0.8,16,26,7,11,1,2,74.0,14.3
61,Cedi Osman,SF,SAS,4,0,16,5.5,0.8,0.8,0.2,0.0,0.2,1.2,9,21,4,14,0,0,52.0,5.8999999999999995
62,Charles Bassey,C,SAS,4,0,9,2.5,3.5,1.2,0.0,0.8,0.0,0.5,5,9,0,1,0,0,56.0,7.5
63,Charles Bediako,,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
64,Charlie Brown Jr.,SG,NYK,1,0,2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,0,1,0,0,0.0,-2.0
65,Chet Holmgren,C,OKC,4,4,30,15.2,7.5,3.8,1.2,1.0,2.0,2.5,21,51,6,18,13,15,53.0,24.2
66,Chimezie Metu,C,PHO,2,0,4,0.6,0.4,0.4,0.2,0.0,0.0,0.6,1,3,0,1,1,2,15.0,0.9999999999999999
67,Chris Boucher,PF,TOR,4,0,14,6.5,2.0,0.0,0.5,0.2,0.0,1.0,9,20,5,10,3,4,60.0,8.2
68,Chris Duarte,SF,SAC,4,2,13,2.8,2.2,0.0,1.5,0.0,1.2,2.2,4,13,2,8,1,2,40.0,3.0999999999999996
69,Chris Livingston,SF,MIL,1,0,0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0,1,0,0,0,0,0.0,0.4000000000000001
70,Chris Paul,PG,GSW,4,1,24,6.0,3.0,6.8,1.8,0.2,1.2,1.0,9,28,4,10,2,3,41.0,15.600000000000001
71,Christian Braun,SG,DEN,4,0,22,12.8,4.5,1.0,0.2,0.0,0.2,2.0,22,38,3,5,4,5,64.0,16.3
72,Christian Wood,PF,LAL,5,0,15,6.2,7.2,1.0,0.0,0.5,1.3,1.3,16,33,2,10,3,3,45.0,12.299999999999999
73,Chuma Okeke,SF,ORL,2,0,1,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2,3,2,3,0,0,50.0,1.5
74,Clint Capela,C,ATL,4,4,24,13.2,8.2,1.0,1.2,2.0,1.5,3.2,22,34,0,0,9,12,67.0,20.9
75,Coby White,PG,CHI,4,4,32,13.8,2.0,3.0,0.2,0.2,1.8,1.5,21,44,9,23,4,5,60.0,15.899999999999999
76,Cody Zeller,C,NOP,5,0,4,0.5,1.2,0.2,0.3,0.2,0.2,0.5,0,2,0,0,3,5,30.0,1.6999999999999997
77,Colby Jones,SG,SAC,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0
78,Cole Anthony,PG,ORL,4,0,30,13.0,5.5,6.2,0.8,0.2,2.8,2.8,16,49,7,21,13,15,47.0,20.099999999999998
79,Cole Swider,SF,MIA,1,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,3,0,2,0,0,0.0,1.0
80,Collin Gillespie,PG,DEN,1,0,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0,0,0,0,0,0.0,-0.2
81,Collin Sexton,SG,UTA,4,0,22,11.2,3.2,5.2,0.8,0.8,1.5,2.0,17,38,3,12,8,8,54.0,17.7
82,Corey Kispert,SF,WAS,3,0,25,14.3,4.0,0.7,0.3,0.0,1.0,2.0,15,23,10,16,3,3,88.0,16.3
